2014-10-22 18:36:00 status unpacked libdrm2:amd64 2.4.56-1
2014-10-22 18:36:00 install libgcc1:amd64 <none> 1:4.9.1-16ubuntu6
2014-10-22 18:36:00 status half-installed libgcc1:amd64 1:4.9.1-16ubuntu6
2014-10-22 18:36:00 status unpacked libgcc1:amd64 1:4.9.1-16ubuntu6
2014-10-22 18:36:00 status unpacked libgcc1:amd64 1:4.9.1-16ubuntu6
2014-10-22 18:36:00 install libgcrypt11:amd64 <none> 1.5.4-2ubuntu1
2014-10-22 18:36:00 status half-installed libgcrypt11:amd64 1.5.4-2ubuntu1
2014-10-22 18:36:00 status unpacked libgcrypt11:amd64 1.5.4-2ubuntu1
2014-10-22 18:36:00 status unpacked libgcrypt11:amd64 1.5.4-2ubuntu1
2014-10-22 18:36:01 install libgdbm3:amd64 <none> 1.8.3-13
2014-10-22 18:36:01 status half-installed libgdbm3:amd64 1.8.3-13
2014-10-22 18:36:01 status unpacked libgdbm3:amd64 1.8.3-13
2014-10-22 18:36:01 status unpacked libgdbm3:amd64 1.8.3-13
2014-10-22 18:36:01 install libgpg-error0:amd64 <none> 1.13-4
2014-10-22 18:36:01 status half-installed libgpg-error0:amd64 1.13-4
2014-10-22 18:36:01 status unpacked libgpg-error0:amd64 1.13-4
2014-10-22 18:36:01 status unpacked libgpg-error0:amd64 1.13-4
2014-10-22 18:36:01 install libjson-c2:amd64 <none> 0.11-4ubuntu1
2014-10-22 18:36:01 status half-installed libjson-c2:amd64 0.11-4ubuntu1
2014-10-22 18:36:01 status unpacked libjson-c2:amd64 0.11-4ubuntu1
2014-10-22 18:36:01 status unpacked libjson-c2:amd64 0.11-4ubuntu1
2014-10-22 18:36:02 install libjson0:amd64 <none> 0.11-4ubuntu1
2014-10-22 18:36:02 status half-installed libjson0:amd64 0.11-4ubuntu1
2014-10-22 18:36:02 status unpacked libjson0:amd64 0.11-4ubuntu1
2014-10-22 18:36:02 status unpacked libjson0:amd64 0.11-4ubuntu1
2014-10-22 18:36:02 install libklibc:amd64 <none> 2.0.3-0ubuntu1
2014-10-22 18:36:02 status half-installed libklibc:amd64 2.0.3-0ubuntu1
2014-10-22 18:36:02 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2014-10-22 18:36:02 status unpacked libklibc:amd64 2.0.3-0ubuntu1
2014-10-22 18:36:02 install libkmod2:amd64 <none> 18-1ubuntu2
2014-10-22 18:36:02 status half-installed libkmod2:amd64 18-1ubuntu2
2014-10-22 18:36:02 status unpacked libkmod2:amd64 18-1ubuntu2
2014-10-22 18:36:02 status unpacked libkmod2:amd64 18-1ubuntu2
2014-10-22 18:36:03 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
